,de,en,es,fr,pl
4608,Alle Politiken und alle Institutionen und alle Organe der Europäischen Union müssen dieser Grundrechtecharta unterliegen.,"All the policies, institutions and bodies of the European Union must be subject to this Charter of Fundamental Rights.","En segundo lugar, otro problema es la tentación que tienen algunos de los países más ricos de penalizar a aquellos países que, siendo perceptores del Fondo de cohesión, han logrado una convergencia nominal en base a unas políticas estructurales y económicas serias, responsables, solidarias y rigurosas, pero sin, evidentemente, alcanzar todavía una convergencia real, eliminándoles, en este caso, del Fondo de cohesión, lo cual podría dar lugar a dos situaciones.","À trois voix près, nous avons refusé justement de renoncer aux OGM dans le chocolat.","W Europie wiele państw nie jest na tym samym poziomie zaawansowania technologicznego, co stanowi dodatkowe wyzwanie dla Unii Europejskiej."
4609,"Das wäre sonst ein Versprechen von Grundrechten an die Bürger und die Menschen in dieser Union, die eine bloße Proklamation bliebe.","Otherwise, we would be making the citizens of this Union a promise about human rights that would remain nothing more than a proclamation.","En primer lugar, favorecer políticas no rigurosas e inflacionistas para no perder dichos fondos.","En outre, nous nous sommes assis sur le principe de précaution en refusant les études d' impact préalables par rapport à l' impact qu' aura cette directive sur les pays producteurs, etc. Rien n' est passé.","Polska jest krajem, w którym 96% energii elektrycznej pochodzi ze spalania węgla, dlatego przystosowanie naszego przemysłu energetycznego do 2020 roku może być ciężarem nie do udźwignięcia."
4610,"Es würde heißen, die Erwartungen der Menschen nur zum Schein zu erfüllen.","In other words, we would only be making a pretence of fulfilling the people' s expectations.","Y en segundo lugar, parar el crecimiento y la convergencia con el resto de países de la Unión Europea por parte de alguno de estos países.",La question qu' on peut se poser c' est vraiment à qui profite la manipulation et...,"Kierując się dobrem całej społeczności europejskiej, powinniśmy tu, w Brukseli, bardziej uwzględniać możliwości poszczególnych państw, nie stawiając zbyt wysoko poprzeczki, którą tylko nieliczni mogą zrealizować."
4611,"Und die heutige Entschließung, wenn sie denn angenommen wird, greift eine alte Forderung des Parlaments auf, die noch nie so wichtig war wie heute.","And today' s resolution, if it is adopted, picks up on one of Parliament' s old demands that has never been so important as it is today.","Por ello, sería conveniente distinguir, señor Comisario, entre convergencia real y convergencia nominal.",(Le président retire la parole à l' oratrice),"W kwestii redukcji emisji gazów uważam, że prowadzenie polityki dywersyfikacji surowców nie jest jedynym sposobem zapobiegania."
4612,"Diese Grundrechtecharta muß der Grundstein, das Grundelement in dem notwendigen Prozeß sein, die Europäische Union mit einer Verfassung auszustatten.","This Charter of Fundamental Rights must form the cornerstone, the foundation of the process we need if we are to provide the European Union with a constitution.","Por último, quisiera recoger una serie de recomendaciones en cuanto al Fondo de cohesión.",. La directive de la Commission de Bruxelles concernant l'autorisation d'intégrer dans la composition du chocolat un certain nombre de graisses végétales moins chères que le beurre de cacao sert manifestement les intérêts des cinq multinationales qui se partagent les trois quarts du marché européen.,"Wartą zainteresowania jest technologia bezemisyjnego spalania węgla, która umożliwia ograniczenie emisji gazów."
4613,Mit dieser Grundrechtecharta ist die Errichtung einer Europäischen Demokratie in diesem supranationalen Raum verbunden.,We cannot do without this Charter of Fundamental Rights if we are to construct a European democracy in this supranational area.,"En primer lugar, sería conveniente efectuar una mayor inversión en ferrocarriles, puertos y en el transporte marítimo.","Dans la mesure où le produit abusivement appelé chocolat ne sera même pas moins cher, le consommateur ne regagne pas en prix d'achat ce qu'il perd en transparence par rapport à la nature du produit.",Drugą możliwością jest energia jądrowa.
4614,"Frau Präsidentin, vielleicht ist es eine List der Geschichte, daß Sie heute einen Österreicher als Berichterstatter, als Ko-Berichterstatter dieser Grundrechtecharta benannt haben.","Madam President, perhaps it is one of life' s ironies that you have nominated an Austrian as rapporteur, as co-rapporteur, for this Charter of Fundamental Rights.","En segundo lugar, deberían elegirse como prioritarios los transportes destinados a la integración de los territorios periféricos, islas y zonas aisladas.","Alors même que nous ne partageons pas les préoccupations protectionnistes qui se cachent derrière la défense du ""vrai chocolat"", nous ne voyons aucune raison de voter pour la directive de Bruxelles.","Zakładając, że przy planowaniu budowy elektrowni jądrowej zaplanuje się szczegółowe strategie obejmujące wszystkie zagadnienia mające związek z późniejszą eksploatacją, jest to jedno z najczystszych źródeł pozyskiwania energii."
4615,"Ich danke Ihnen für dieses Vertrauen, und es ist vielleicht nicht üblich, aber mit Ihrer Erlaubnis möchte ich gern meinen Beitrag der letzten Monate zu dieser Arbeit der überwältigenden Mehrheit der österreichischen Bevölkerung widmen, die den großen europäischen Konsens gegen Taten und gegen Worte verteidigt.","I am grateful to you for trusting in me, and although it may not be customary practice, with your permission I would very much like to dedicate my contribution over the last few months to this work, to the overwhelming majority of the Austrian population that is defending the great European consensus against deeds and words.","En tercer lugar, hay que prestar una mayor atención a los medios de transporte sostenibles.","Après plus de deux ans d' atermoiements, le Conseil a adopté, en octobre 1999, une position commune sur la directive relative aux produits de cacao et du chocolat.","Kończąc wypowiedź chciałbym zaznaczyć, że dla naszej przyszłości kluczowym jest położenie szczególnego nacisku na badania naukowe, których efektem mogą być nowe technologie, znacznie korzystniejsze, wydajniejsze dla naszego globu niż tu obecnie nam dostępne."
4616,Die Würde des Menschen ist unantastbar!,Human dignity is sacrosanct!,"En cuarto lugar, son necesarias más intervenciones en el ámbito de la reforestación y de la recuperación del suelo.","En l' état, ce texte ne permet ni de protéger les intérêts des consommateurs, des artisans-chocolatiers et des producteurs de cacao, ni de garantir la qualité du chocolat.",Pani przewodnicząca! Proponowany pakiet energetyczno-klimatyczny dla Unii Europejskiej to misterny plan organizacyjno-legislacyjny mający doprowadzić do znaczącej redukcji emisji CO2.
4617,"Frau Präsidentin, meine Damen und Herren! Die Charta der Grundrechte ist höchst dringlich und politisch notwendig.","Madam President, ladies and gentlemen, the Charter of Fundamental Rights is urgently needed for political reasons.","En quinto lugar, hay que hacer frente al problema del tratamiento de residuos y desechos sólidos.","En effet, il banalise l' emploi de matières grasses végétales autres que le beurre de cacao, ne prévoit pas l' information rigoureuse du consommateur et fait peu de cas de l' absence de méthode fiable d' analyse et de mesure des graisses présentes dans le chocolat.","Ambitne plany Komisji bazują na założeniu, że zachodzące w świecie zmiany klimatyczne, które niewątpliwie są faktem, to rezultat wpływu emisji CO2, a przecież to nie zostało udowodnione i nie poparte na Bali."
4618,Im Laufe der fortschreitenden Integration ist eine ständig größer werdende Lücke des Grundrechtsschutzes entstanden.,"As integration has marched on, it has become apparent that, increasingly, we are falling short in our efforts to protect fundamental rights.","Y por último, conviene una mayor inversión, como ya hemos indicado anteriormente, en núcleos urbanos.",Cette proposition ne répond ainsi en rien aux préoccupations exprimées par les députés européens lors du vote en première lecture le 23 octobre 1998.,W kwestiach tych wszelkie prognozy oparte jedynie na symulacjach komputerowych nie mogą stanowić dowodu.
4619,"Sie ist darin begründet, daß die Nationalstaaten immer mehr Souveränitätsrechte und Kompetenzen an die Union übertragen haben, der Grundrechtsschutz der in der Union lebenden Menschen aber auf den nationalen Rahmen beschränkt blieb.","This has its origins in the fact that increasingly, the individual Member States have been transferring sovereignty rights and competences to the Union, yet the protection of the fundamental rights of citizens of the Union is still only dealt with at national level.","Quiero indicar, además, que mañana se van a presentar cuatro enmiendas, dos de ellas aprobadas en comisión y otras nuevas ante el Pleno de la Asamblea.","Ce texte ouvre grand la porte à la production industrielle d' équivalents au beurre de cacao à base d' huile de palme, dont le cours est très largement inférieur à celui du cacao.","Tak więc, Panie Komisarzu, po pierwsze, potrzebne są bardziej wiarygodne dane na temat wpływu emisji CO2 na klimat, to jest gazu, który jest przecież niezbędnym substratem dla fotosyntezy."
4620,Diese Lücke des Grundrechtsschutzes muß endlich beseitigt werden.,It is high time that we tackled these shortcomings in the protection of fundamental rights.,"Mi postura -ya he explicado en comisión los motivos de la misma- es la de no aceptarlas, puesto que en líneas generales lo que plantean son sencillamente nuevos criterios.",Son adoption entraînerait une chute de revenu dramatique pour les onze millions de personnes vivant du cacao en Afrique de l' Ouest et pour l' ensemble des régions productrices.,Czy wobec tego CO2 jest zanieczyszczeniem?
4621,Die Grundrechtecharta ist zugleich eine große Chance für Europa.,"At the same time, the Charter of Fundamental Rights represents a great opportunity for Europe.","Estamos hablando del Fondo de cohesión y del balance de 1998, sobre los que hay un reglamento y unos criterios ya aprobados para el período 2000-2006 y no creemos que sea ahora el momento de cambiar los criterios en cuanto a la elegibilidad y la distribución de dichos fondos.","Pour mieux nous faire avaler cette potion amère, on s' est efforcé de conférer au texte un arrière-goût de social en prétendant qu' il permet de défendre les intérêts des pays producteurs de beurre de karité les plus pauvres, tels que le Mali ou le Burkina-Faso.",Odwołuję się tu do wspomnianego już wcześniej listu stu wybitnych uczonych z grudnia ubiegłego roku do sekretarza generalnego ONZ.
4622,Warum?,Why?,"Señor Presidente, además de felicitar al señor Casaca por el excelente trabajo que ha realizado, he de agradecerle su apoyo a la opinión de la Comisión de Agricultura.","Toutefois, aucune garantie n' existe quant à l' utilisation par l' industrie du chocolat de l' huile de noix de karité qui ne peut en tout état de cause remplacer le beurre de cacao qu' à concurrence de 50 %.","Po drugie, restrykcyjne narzucanie limitów emisji CO2 przez Komisję wewnątrz Unii Europejskiej bez umiędzynarodowienia tego problemu spowoduje spowolnienie rozwoju oraz poważne skutki społeczne."
4623,"Erstens, weil endlich nach vielen Jahren ein Projekt in Angriff genommen wird, das von vielen engagierten Bürgerinnen und Bürgern, von Nichtregierungsorganisationen, von unterschiedlichen politischen Kräften und auch von diesem Haus schon lange gefordert wird.","Firstly, because after many years we are at last getting down to a project that many committed citizens, non-governmental organisations, and various political forces, not to mention this House, have long been calling for.","Esta opinión ha intentado corregir el enfoque de la Comisión, que ignora el mayor volumen de elementos imprescindibles no únicamente para el control, sino también para la gestión.","Il s'agit là d'une opposition largement artificielle entre producteurs de cacao et producteurs de karité, entre pays pauvres et pays encore plus pauvres.","I wreszcie po trzecie, co najważniejsze, Komisja w swoich planach energetyczno-klimatycznych pominęła główny wniosek z konferencji na Bali dotyczący adaptacji społeczeństw do nieuchronnych zmian klimatu, to jest do stepowienia, pustynnienia, braku wody pitnej, powodzi itp."
4624,"Zweitens ist es eine Chance, weil der europäischen Integration ein positiver Identitätsschub verliehen werden kann, und zwar zum einen dadurch, daß die Demokratie gestärkt werden kann, und zum anderen dadurch, daß über die Fixierung der Rechte für die in der Union lebenden Menschen endlich ganz konkret für jeden und jede dieses Europa individuell sichtbar und faßbar gemacht werden kann.","Secondly, it will enable us to boost the public image of European integration for two reasons; the first being that it will enable us to strengthen democracy, and the second being that by establishing rights for those who live in the Union, we will at last be able to make this Europe visible and comprehensible to each and every individual in a very concrete way.",Esta fuente de información reside en las informaciones administrativas resultantes de los pagos del FEOGA.,"En réalité, cette proposition de directive exprime surtout la position des multinationales du chocolat, et ne défend finalement avec certitude que leurs intérêts.","Na te właśnie cele głównie powinny być skierowane środki, które Unia zamierza przeznaczyć na walkę ze zmianami klimatu w Europie."
4625,Dies halte ich für außerordentlich bedeutsam.,This is extremely important to my mind.,El Reglamento (CE) nº 2390/1999 exige que los Estados miembros mantengan a disposición de la Comisión los datos de los pagos del FEOGA-Garantía.,Elle ne saurait donc me satisfaire.,"Pani przewodnicząca! Panie komisarzu! Ja, ze zdziwieniem słuchając dzisiejszej dyskusji, muszę stwierdzić, że w jej trakcie nie padło ani raz określenie rozwój zrównoważony, sustainable development."
4626,"Wir alle haben oft genug erlebt, wie groß das Unverständnis und auch die Ablehnung gegenüber diesem weit entfernten imaginären Brüssel ist.","We have all experienced only too often just how little people comprehend what goes on in this remote and illusory place called Brussels, and how much disapproval there is.","Sin embargo, sólo exige que dichas informaciones les sean transmitidas previa solicitud y exclusivamente para la preparación de verificaciones in situ en el proceso de liquidación de cuentas.","C' est pourquoi je soutiens pleinement les amendements qui privilégient les préoccupations des artisans-chocolatiers, les intérêts des consommateurs et l' avenir de millions de paysans producteurs de cacao.","Tak modne, a nawet nadużywane określenie jeszcze na początku lat dziewięćdziesiątych poprzedniego stulecia, bo przecież to w Rio de Janeiro na konferencji w 1992 roku państwa zgodziły się, aby w sposób rozsądny chronić środowisko wtedy, gdy je eksploatują."
4627,Wieder und wieder wird zu Recht gefragt: Was ist dieses Europa eigentlich?,"Time and again, people ask, and rightly so, what is this Europe actually all about?",Esta situación crea varios límites al control.,"Je tiens d' entrée de jeu à féliciter le rapporteur pour la ténacité dont il a fait preuve dans ce dossier ""chocolat"".","Koleżanki! Koledzy! Rozwój zrównoważony to nie przestarzałe określenie, to nie efekt chwilowej fascynacji polityków i ekologów."
4628,Welchen Sinn hat es?,What purpose does it serve?,Una gestión eficaz debe poder proporcionar elementos de análisis y decisión a las instituciones responsables y entre estos elementos se cuenta el índice coste-eficacia.,Je rappellerai brièvement les grandes lignes de ce dossier.,"To określenie usiłuje pogodzić interes ogromnego lobby, lobby ekologicznego, które nas reprezentuje, z lobby przemysłowym."
4629,Was habe ich ganz persönlich davon?,What do I personally get out of it?,Este enfoque debe aplicarse sistemáticamente y debe basarse en el análisis de los pagos correspondientes a cada reglamentación.,"En 1996, la Commission européenne nous a proposé de modifier la directive de 1973 qui autorisait le Royaume-Uni, l'Irlande et le Danemark à déroger à la norme en vigueur en remplaçant dans le chocolat une partie du beurre de cacao par d'autres matières grasses végétales (MGV) à concurrence d'un maximum de 5 % du poids total.","Dlatego popatrzmy na efekty osiągnięte na Bali przez pryzmat tej starej zasady rozwoju zrównoważonego, ocenianego nie tylko w skali Europy, ale w skali międzynarodowej."
4630,"Wenn wir wollen, daß die Bürgerinnen und Bürger sagen: ""Ja, dieses Europa ist auch mein Projekt "", dann kann die Grundrechtecharta dazu beitragen.","If what we want is for the citizens to say: ""Yes, I have a stake in this European project too"" , then the Charter of Fundamental Rights can help to bring this about.",El hecho de que sólo se puedan solicitar estas informaciones para preparar las verificaciones in situ en el proceso de liquidación de cuentas establece un límite temporal a la disponibilidad de unas informaciones fundamentales para la gestión y el control.,"En effet, avec l'adhésion de nouveaux États membres, le nombre de pays autorisant les MGV autres que le beurre de cacao est passé à sept avec la Finlande (qui autorise 10 %), l'Autriche, le Portugal et la Suède.","Chrońmy naszą Ziemię przed zmianami klimatycznymi, ale nie kosztem niszczenia naszego przemysłu."
4631,"Was muß die Charta leisten, damit diese Chance aber auch tatsächlich genutzt wird?","What will this Charter have to deliver, for us to be able to make full use of this opportunity?",Una vez que se acaba el proceso de liquidación de cuentas se cierra la posibilidad de cualquier análisis de gestión o de acción de control.,"Les huit autres l'interdisent (Allemagne, Belgique, Espagne, France, Grèce, Italie, Luxembourg, Pays-Bas).",Poszukajmy mądrego kompromisu.
4632,Ich möchte hier fünf Punkte ansprechen.,I would like to make five points in this connection.,"Pero, además de estas verificaciones ligadas a la liquidación de cuentas, un control eficaz requiere de otros instrumentos como, por ejemplo, el cruce de las distintas informaciones disponibles.","La proposition en question vise donc à donner aux États membres, en général, la possibilité d'autoriser l'addition de graisses végétales autres que le beurre de cacao dans les produits de chocolat à concurrence d'un maximum de 5 % du poids total du produit fini.",Panie komisarzu! Byłem na Bali w delegacji polskiego rządu.
4633,"Erstens: Die Grundrechtecharta darf von ihren Standards her nicht hinter die in unseren Ländern bestehenden Grundrechte zurückfallen und ebensowenig hinter diejenigen, die in der Europäischen Menschenrechtskonvention fixiert sind.","Firstly: in terms of standards, the Charter of Fundamental Rights must not fall behind the fundamental rights in existence in our countries, as it must not fall behind those enshrined in the European Convention on Human Rights.","Para paliar estas deficiencias se ha propuesto, pues, la utilización de las informaciones disponibles en el marco del mencionado Reglamento (CE) nº 2390/1999 en el sistema integrado de gestión, del que hablaba anteriormente el Sr. Casaca en su estupendo informe.","Cela n' a pas manqué, bien évidemment, de susciter des débats parfois houleux et, surtout, de raviver des préoccupations légitimes chez les consommateurs.",Konferencja na Bali przyniosła umiarkowany sukces.
4634,"Gleichzeitig muß sie für das 21. Jahrhundert zukunftsfähig sein, den neuen modernen Entwicklungen in unseren Gesellschaften Rechnung tragen.","At the same time, it must be viable for the twenty-first century and take account of the new developments in our societies.","En consecuencia, en la primera fase de la instauración de este sistema integrado de gestión y control bastaría con regular las condiciones de envío de la información citada y la necesidad de que la Comisión las almacene.","Ces derniers, qui se sont sentis particulièrement menacés il y a de cela quelques années, lorsque l' Europe, par le biais de directives d' harmonisation, tentait de nous imposer des ""europroduits"", ont manifesté leur volonté de défendre leurs traditions culinaires.",Teraz za COP14 i COP15 odpowiadają państwa europejskie.
4635,"Zweitens: Sie muß selbstverständlich alle Politiken der Union erfassen, sowohl das Gemeinschaftsrecht als auch die zweite und dritte Säule, und damit alle Organe und Institutionen binden, bei ihren Entscheidungen und bei der Entwicklung und Umsetzung von Politik die Grundrechte zu wahren.","Secondly, it is only natural that the Charter should encompass all the policies of the Union; Community law as well as the second and third pillars, and, as such, make it incumbent on all bodies and institutions to preserve fundamental rights in the course of their decision-making and in the development and implementation of policies.","Señora Presidenta, señor Presidente en ejercicio del Consejo, señor Comisario, no es un lugar común decir que la Unión Europea se encuentra, en vísperas del Consejo Europeo de Feira, en un momento decisivo.",Une tendance salvatrice s' est dessinée par la suite pour promouvoir la qualité de l' alimentation en même temps que la diversité alimentaire.,Co nam przeszkadza najbardziej w uzyskaniu pełnego sukcesu?
4636,"Drittens, und da kann ich meiner Kollegin von der Fraktion der Grünen/Freie Europäische Allianz nur zustimmen: Die Grundrechtecharta muß die Rechte für alle in der Union lebenden Menschen fixieren und nicht etwa Rechte erster und zweiter Klasse für Menschen erster und zweiter Klasse schaffen.","Thirdly - and I cannot do other than support Mrs Boumediene-Thiery from the Group of the Greens/European Free Alliance in this - the Charter of Fundamental Rights must establish rights for all those who live in the Union, and not, for example, create first and second-class rights for first and second-class citizens respectively.","La prueba de ello es que en los últimos meses se han multiplicado los pronunciamientos, empezando por los de Jefes de Estado como el Presidente Ciampi de Italia, el Presidente Rau de la República Federal de Alemania, destacados políticos europeos como Helmut Schmidt, Valery Giscard d'Estaing, Jacques Delors y más recientemente, con mucho éxito, el ministro alemán de Asuntos Exteriores Fischer, que han enlazado el debate sobre la Conferencia Intergubernamental con un debate importante para todos contenido en la pregunta ¿quo vadis Europa?","Or, dans ce dossier, s' il n' est pas contestable que les États membres utilisant des MGV à la place du beurre de cacao ont le droit de commercialiser leurs produits, reste à savoir s' il est légitime de les commercialiser sous l' appellation ""chocolat"".","Moim zdaniem brak skutecznych, dostępnych i tanich technologii."
4637,"Viertens teile ich die im Bericht erhobene Forderung, daß die Grundrechtecharta rechtsverbindlich werden und integraler Bestandteil des EU-Vertrages sein muß.","Fourthly, I support the demand raised in the report for the Charter of Fundamental Rights to be made legally binding and an integral part of the EU Treaty.",Creo que eso es saludable en vísperas de la mayor y más ambiciosa ampliación que ha conocido la Unión Europea.,"En effet, la substitution du beurre de cacao par d' autres MGV pose la question de la sauvegarde de la nature même du chocolat.",Powinniśmy jako Unia Europejska na tym się skupić.
4638,"Hier ist meines Erachtens der Rat gefordert, seine Position zu überdenken und zu revidieren.","In my view, the onus is on the Council to consider and revise its position on this.","Este debate coincide con la voluntad política del Grupo del Partido de los Socialistas Europeos, y también del Parlamento en su conjunto, de lograr una agenda ambiciosa para la Conferencia Intergubernamental.","Il faut donc encadrer ce marché de garanties suffisantes pour les consommateurs, certes, mais également pour les producteurs de cacao.","Pomożemy wtedy sobie, naszej gospodarce i pomożemy także innym przez transfer i wymianę takich najlepszych technologii."
4639,"Wenn die Charta kein Vertragsbestandteil und damit auch nicht für jeden und jede individuell einklagbar wäre, würden die Menschen zu Recht nur mit Enttäuschung und Unverständnis reagieren und sagen, in Brüssel sei nichts weiter geschehen als noch ein Stück Papier zu beschreiben.","If the Charter did not form part of the Treaty, it would not be legally enforceable for each and every individual, and this would understandably only meet with disappointment and a lack of comprehension on the part of the people, who would say "" all they have done in Brussels is describe a piece of paper"" .","Y ya que se ha hablado aquí de tecnología fotográfica, diría, como si se tratase de una película, que lo que nos interesa es participar en el guión, que el desenlace sea bueno y que los parlamentarios no seamos extras, no seamos figurantes, sino protagonistas.",Nous devons exiger :,"Będzie to znacznie tańsze niż stawianie ciągle przed przemysłem nowych, coraz ostrzejszych redukcji emisji."
4640,"Fünftens: Für uns als Fraktion ist von besonderer Bedeutung, daß die sozialen Grundrechte nicht unter den Tisch fallen oder nur halbherzig berücksichtigt werden.","Fifthly, it is especially important to us as a group that the social fundamental rights should not fall by the wayside or only be taken account of half-heartedly.","Y, en relación con la Conferencia Intergubernamental, es importante que el Presidente Herzog comparezca ante el Consejo Europeo de Feira.",une mention très explicite à destination des consommateurs pour qu' ils puissent acheter en connaissance de cause ;,Wymaga to rewizji unijnego budżetu i przesunięcia środków.
4641,Ich möchte hier ausdrücklich Frau van den Burg zustimmen.,I would like to emphasise my support for Mrs van den Burg on this point.,"Querría señalar que, cuando se habla de comunidad de valores -y ha habido ocasiones recientes para ello como la ofrecida por la formación del nuevo Gobierno austríaco-, hay que exigir que la Carta de Derechos Fundamentales se inscriba claramente en el Tratado para poder completar la función de los artículos 6 y 7 del mismo.","la réservation de la mention ""chocolat de qualité"" aux produits qui contiennent du beurre de cacao ;",Zdecydujmy się na to.
4642,"Das Recht auf Arbeit, auf Wohnung, auf Gesundheit oder das Recht auf Bildung von Gewerkschaften und das Streikrecht sind unverzichtbar.","The right to work, to have somewhere to live, to health, and the right to form trade unions and to strike are inalienable.","Además, si bien el Tratado de la Unión Europea reconoce la ciudadanía europea, hasta ahora no se han desarrollado los derechos individuales y colectivos, económicos y sociales.",la limitation des MGV de substitution aux matières végétales tropicales non obtenues au moyen de procédés de production enzymatiques et non issues du génie génétique ;,Polski rząd proponuje w tym roku w Poznaniu światowy przegląd najlepszych technologii w ramach COP14.
4643,"Wir haben schon Sorge in dieser Hinsicht, vor allem, wenn man erlebt hat, wie praktisch alle diesbezüglichen Anträge bei den Abstimmungen im Ausschuß weggestimmt wurden.","We already have some concerns in this respect, particularly in view of the fact that practically all the amendments relating to this were rejected following the votes in committee.",Es una absoluta contradicción el tener una ciudadanía sin derechos.,une évaluation de l' impact d' une telle mesure sur les exportations de cacao dans les PVD.,"Najlepsze koncerny, przodujące kraje będą wystawiać i prezentować najlepsze rozwiązania technologiczne."
4644,Wir werden uns sehr engagieren für die Verankerung sozialer Rechte.,We are firmly committed to seeing social rights become firmly established in law.,Por eso es absolutamente esencial que la Carta de Derechos Fundamentales forme parte del Tratado.,Je souscris à ces exigences qui se retrouvent dans les amendements déposés par le rapporteur.,"Aby nam się udała Kopenhaga w roku 2009, musi nam się najpierw udać Poznań w roku 2008."
4645,"Wir hoffen auch, daß dieses Parlament morgen bei der Abstimmung im Plenum in dieser Frage ein deutliches politisches Zeichen setzt.",We also hope that this Parliament will set down a clear political marker in this matter during tomorrow' s vote in plenary sitting.,"Y, en este proceso, el estatuto de los partidos políticos es un medio para que haya protagonistas también en el tema europeo.",Je suis en effet un consommateur soucieux de la qualité et du goût du chocolat traditionnel.,"Panie Przewodniczący! Podczas ostatniej sesji nie zostałam dopuszczona do głosu, dlatego dzisiaj chciałam zaprotestować na forum Parlamentu Europejskiego przeciwko łamaniu praw człowieka i ludzkiej godności."
4646,"Ich möchte abschließend noch hinzufügen: Wir können nicht einen Sondergipfel in Lissabon durchführen, dabei erklären, Vollbeschäftigung soll das Ziel der Politik sein und gleichzeitig verweigern, soziale Grundrechte in die Charta aufzunehmen.","On a final note, I would just like to add that we cannot declare at a special summit meeting in Lisbon that full employment should be our political goal, but at the same time, refuse to incorporate social fundamental rights into the Charter.","Añadiría, en relación a la Convención, un elemento más y es que en la redacción de la Carta la Convención está demostrando ser una fórmula más transparente, más democrática y más abierta que el procedimiento clásico de las conferencias intergubernamentales.","Je pense par ailleurs que la politique de protection des consommateurs, élevée au rang de politique communautaire, ne se résume pas à la sécurité alimentaire et à la protection de la santé.","Podczas lotu do Buenos Aires na zaproszenie Polonii amerykańskiej, gdzie przekazywaliśmy i broniliśmy uniwersalnych europejskich wartości razem z szanowanym przez miliony słuchaczy dyrektorem katolickiego radia, byliśmy agresywnie nękani przez dziennikarzy prywatnej, komercyjnej stacji TVN, którzy próbowali wymusić wywiady, jednocześnie obrażając inwektywami osobę duchowną i posła do Parlamentu Europejskiego."
4647,"Ich denke, dieser Widerspruch ist politisch nicht haltbar.",This contradiction is not politically defensible to my mind.,Es una fórmula de futuro y creo que hay que tomarla muy en serio.,"Elle doit viser à la promotion d' une alimentation de qualité qui fait partie d' une philosophie plus générale, celle de la qualité de la vie !","Przemoc psychiczna zagrażająca naszemu zdrowiu psychofizycznemu podczas czternastogodzinnego lotu była przerywana dzięki kilkakrotnym interwencjom załogi Lufthansy, jednak miała także miejsce po wylądowaniu."
4648,"Frau Präsidentin, Herrn Belder möchte ich ausdrücklich für seinen Bericht danken.","Madam President, I should like to expressly thank Mr Belder for his report.","En relación con esto, añadiré dos puntos decisivos.","Cette proposition de directive de 1996 entre dans le cadre de la réalisation de l' harmonisation du marché intérieur, la Commission donnant ainsi aux États membres la possibilité d' autoriser l' addition de graisses végétales autres que le beurre de cacao dans les produits de chocolat à concurrence d' un maximum de 5 % du poids total du produit fini.","Chciałabym zwrócić uwagę także na niebezpieczeństwa udostępniania osobom trzecim informacji o numerze lotu, rezerwacji miejsc w samolocie i hotelach wbrew obowiązującym prawom, co może być wykorzystywane przez przeróżnych terrorystów."
4649,"Rassismus, Fremdenfeindlichkeit und Antisemitismus sind auch innerhalb der Europäischen Union ein bedrückendes Problem.","Racism, xenophobia and antisemitism are a depressing problem, including within the European Union.","Uno es, para el Parlamento, que las decisiones por mayoría cualificada vayan acompañadas del procedimiento de codecisión, y el segundo punto es que debemos preferir la integración a las cooperaciones reforzadas, porque lo que estamos haciendo es integrar.","Elle prévoit aussi la commercialisation de ces produits de chocolat contenant des matières grasses végétales (MGV) dans tous les États membres, sous réserve d' un étiquetage mentionnant la liste des ingrédients.","Panie przewodniczący! Po rozszerzeniu strefy Schengen zmieniły się ceny wiz dla obywateli państw, które do Unii nie należą, i tak np. obywatele Białorusi muszą obecnie zapłacić za wizę 12 razy więcej, nie 5 euro, ale 60 euro."
4650,Ihre Bekämpfung gehört zu den gemeinsamen Zielen fast aller politischen Gruppen in diesem Parlament.,Fighting them is one of the common goals of almost every political group in this House.,"En relación con el tema económico, necesitamos una mayor coordinación de las políticas económicas, sociales y de empleo.","À l' instar du rapporteur, je suis d' avis de revenir à la première lecture que notre Parlement avait faite en 1997 et de ne pas autoriser cette addition et cette commercialisation.","60 euro, tyle zarabia lekarz stażysta na Białorusi."
4651,"Dieses Parlament wird auf vielen Gebieten zu diplomatischer Zurückhaltung bereit sein, in dieser Frage jedoch nicht!","This House is prepared to exercise diplomatic restraint in many areas, but not on this question.","Hay que aplicar las conclusiones del Consejo Europeo de Lisboa, que son positivas y que han conseguido un muy amplio consenso también en este Parlamento, pero esta aplicación exige que aumentemos nuestra capacidad de gobierno económico.","Je continue à penser qu' il nous faut réserver la mention ""chocolat de qualité"" aux seuls chocolats ne contenant pas de MGV de substitution et à préconiser une étude d' impact sur les exportations de cacao des pays en développement ; enfin, je souhaite toujours un étiquetage clair et précis pour les consommateurs.",60 euro to 1/3 miesięcznych zarobków społeczeństwa.
4652,Das ist gut so.,And rightly so.,"Si queremos crear empleo, si queremos defender y cumplir con la agenda social en un momento en que la locomotora europea está empezando a marchar con más fuerza y necesita más vapor, lo que menos necesitamos es que se frene nuestra labor con una gestión estrictamente monetarista sin contrapeso económico.","Il s' agit là d' une position de principe, difficilement négociable, puisqu' il en va de la défense de produits de qualité et de celle des consommateurs que nous sommes tous.","Dla wielu Białorusinów jest to zapora, która uniemożliwia uzyskanie wizy i uniemożliwia odwiedzenie im unijnych sąsiadów."
